Notes,County,State,FIPS,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,Waldo County, ME,23027,14,39364,Unreliable,19.4,59.7,9.5,0.00%
,York County, ME,23031,35,202343,17.3,12,24.1,2.9,0.10%
,Allegany County, MD,24001,12,72130,Unreliable,8.6,29.1,4.8,0.00%
,Anne Arundel County, MD,24003,53,568346,9.3,7,12.2,1.3,0.10%
,Baltimore County, MD,24005,91,831026,11,8.8,13.4,1.1,0.20%
,Calvert County, MD,24009,13,91251,Unreliable,7.6,24.4,4,0.00%
,Carroll County, MD,24013,21,167656,12.5,7.8,19.1,2.7,0.00%
,Cecil County, MD,24015,16,102603,Unreliable,8.9,25.3,3.9,0.00%
,Charles County, MD,24017,20,157705,12.7,7.7,19.6,2.8,0.00%
,Frederick County, MD,24021,29,247591,11.7,7.8,16.8,2.2,0.10%
,Harford County, MD,24025,31,251032,12.3,8.4,17.5,2.2,0.10%
,Howard County, MD,24027,23,317233,7.3,4.6,10.9,1.5,0.10%
,Montgomery County, MD,24031,84,1043863,8,6.4,10,0.9,0.20%
,Prince George's County, MD,24033,54,908049,5.9,4.5,7.8,0.8,0.10%
,Washington County, MD,24043,25,150292,16.6,10.8,24.6,3.3,0.10%
,Wicomico County, MD,24045,10,102577,Unreliable,4.7,17.9,3.1,0.00%
,Worcester County, MD,24047,10,51444,Unreliable,9.3,35.7,6.1,0.00%
,Baltimore city, MD,24510,52,614664,8.5,6.3,11.1,1.2,0.10%
,Barnstable County, MA,25001,25,214276,11.7,7.6,17.2,2.3,0.10%
,Berkshire County, MA,25003,15,126903,Unreliable,6.6,19.5,3.1,0.00%
,Bristol County, MA,25005,60,558324,10.7,8.2,13.8,1.4,0.10%
,Essex County, MA,25009,72,779018,9.2,7.2,11.6,1.1,0.20%
,Hampden County, MA,25013,37,468467,7.9,5.6,10.9,1.3,0.10%
,Hampshire County, MA,25015,16,161816,Unreliable,5.7,16.1,2.5,0.00%
,Middlesex County, MA,25017,156,1589774,9.8,8.3,11.4,0.8,0.30%
,Norfolk County, MA,25021,57,697181,8.2,6.2,10.6,1.1,0.10%
,Plymouth County, MA,25023,54,513565,10.5,7.9,13.7,1.4,0.10%
,Suffolk County, MA,25025,50,784230,6.4,4.7,8.4,0.9,0.10%
,Worcester County, MA,25027,76,819589,9.3,7.3,11.6,1.1,0.20%
,Allegan County, MI,26005,15,115548,Unreliable,7.3,21.4,3.4,0.00%
,Barry County, MI,26015,10,59702,Unreliable,8,30.8,5.3,0.00%
,Bay County, MI,26017,20,104747,19.1,11.7,29.5,4.3,0.00%
,Berrien County, MI,26021,24,154010,15.6,10,23.2,3.2,0.10%
,Calhoun County, MI,26025,25,134386,18.6,12,27.5,3.7,0.10%
,Cass County, MI,26027,13,51599,Unreliable,13.4,43.1,7,0.00%
,Clinton County, MI,26037,13,77888,Unreliable,8.9,28.5,4.6,0.00%
,Eaton County, MI,26045,16,109160,Unreliable,8.4,23.8,3.7,0.00%
,Genesee County, MI,26049,37,408615,9.1,6.4,12.5,1.5,0.10%
,Grand Traverse County, MI,26055,15,92084,Unreliable,9.1,26.9,4.2,0.00%
,Hillsdale County, MI,26059,11,45774,Unreliable,12,43,7.2,0.00%
,Ingham County, MI,26065,41,288051,14.2,10.2,19.3,2.2,0.10%
,Jackson County, MI,26075,12,158460,Unreliable,3.9,13.2,2.2,0.00%
,Kalamazoo County, MI,26077,35,261654,13.4,9.3,18.6,2.3,0.10%
,Kent County, MI,26081,75,642173,11.7,9.2,14.6,1.3,0.20%
,Lapeer County, MI,26087,17,88340,Unreliable,11.2,30.8,4.7,0.00%
,Lenawee County, MI,26091,20,98504,20.3,12.4,31.4,4.5,0.00%
,Livingston County, MI,26093,37,188624,19.6,13.8,27,3.2,0.10%
,Macomb County, MI,26099,124,867730,14.3,11.8,16.8,1.3,0.30%
,Marquette County, MI,26103,11,66435,Unreliable,8.3,29.6,5,0.00%
,Midland County, MI,26111,12,83462,Unreliable,7.4,25.1,4.2,0.00%
,Monroe County, MI,26115,27,149208,18.1,11.9,26.3,3.5,0.10%
,Montcalm County, MI,26117,11,62974,Unreliable,8.7,31.3,5.3,0.00%
,Muskegon County, MI,26121,24,173408,13.8,8.9,20.6,2.8,0.10%
,Newaygo County, MI,26123,11,47938,Unreliable,11.5,41.1,6.9,0.00%
,Oakland County, MI,26125,143,1243970,11.5,9.6,13.4,1,0.30%
,Ottawa County, MI,26139,25,282250,8.9,5.7,13.1,1.8,0.10%
,Saginaw County, MI,26145,19,192326,Unreliable,5.9,15.4,2.3,0.00%
,St. Clair County, MI,26147,26,159587,16.3,10.6,23.9,3.2,0.10%
,St. Joseph County, MI,26149,10,60853,Unreliable,7.9,30.2,5.2,0.00%
,Tuscola County, MI,26157,11,53338,Unreliable,10.3,36.9,6.2,0.00%
,Van Buren County, MI,26159,10,75223,Unreliable,6.4,24.4,4.2,0.00%
,Washtenaw County, MI,26161,39,364709,10.7,7.6,14.6,1.7,0.10%
,Wayne County, MI,26163,210,1749366,12,10.4,13.6,0.8,0.50%
,Anoka County, MN,27003,52,345957,15,11.2,19.7,2.1,0.10%
,Blue Earth County, MN,27013,16,66441,Unreliable,13.8,39.1,6,0.00%
,Dakota County, MN,27037,47,417486,11.3,8.3,15,1.6,0.10%
,Hennepin County, MN,27053,137,1232483,11.1,9.3,13,0.9,0.30%
,Olmsted County, MN,27109,19,153102,Unreliable,7.5,19.4,2.8,0.00%
,Otter Tail County, MN,27111,14,58085,Unreliable,13.2,40.4,6.4,0.00%
,Ramsey County, MN,27123,67,540649,12.4,9.6,15.7,1.5,0.10%
,St. Louis County, MN,27137,39,199980,19.5,13.9,26.7,3.1,0.10%
,Scott County, MN,27139,11,143680,Unreliable,3.8,13.7,2.3,0.00%
,Sherburne County, MN,27141,12,93528,Unreliable,6.6,22.4,3.7,0.00%
,Stearns County, MN,27145,20,155652,12.8,7.8,19.8,2.9,0.00%
,Washington County, MN,27163,27,253117,10.7,7,15.5,2.1,0.10%
,Wright County, MN,27171,18,132550,Unreliable,8,21.5,3.2,0.00%
,DeSoto County, MS,28033,24,175611,13.7,8.8,20.3,2.8,0.10%
,Harrison County, MS,28047,46,203234,22.6,16.6,30.2,3.3,0.10%
,Hinds County, MS,28049,25,241229,10.4,6.7,15.3,2.1,0.10%
,Jackson County, MS,28059,14,141241,Unreliable,5.4,16.6,2.6,0.00%
,Jones County, MS,28067,10,67953,Unreliable,7.1,27.1,4.7,0.00%
,Lamar County, MS,28073,10,60914,Unreliable,7.9,30.2,5.2,0.00%
,Madison County, MS,28089,15,105114,Unreliable,8,23.5,3.7,0.00%
,Rankin County, MS,28121,24,150228,16,10.2,23.8,3.3,0.10%
,Boone County, MO,29019,21,176594,11.9,7.4,18.2,2.6,0.00%
,Buchanan County, MO,29021,14,88938,Unreliable,8.6,26.4,4.2,0.00%
,Callaway County, MO,29027,12,45078,Unreliable,13.8,46.5,7.7,0.00%
,Camden County, MO,29029,10,44497,Unreliable,10.8,41.3,7.1,0.00%
,Cape Girardeau County, MO,29031,17,78913,Unreliable,12.5,34.5,5.2,0.00%
,Cass County, MO,29037,21,102845,20.4,12.6,31.2,4.5,0.00%
,Christian County, MO,29043,12,84401,Unreliable,7.3,24.8,4.1,0.00%
,Clay County, MO,29047,47,239085,19.7,14.4,26.1,2.9,0.10%
,Cole County, MO,29051,10,76631,Unreliable,6.3,24,4.1,0.00%
,Franklin County, MO,29071,29,102838,28.2,18.9,40.5,5.2,0.10%
,Greene County, MO,29077,54,288690,18.7,14.1,24.4,2.5,0.10%
,Jackson County, MO,29095,131,691801,18.9,15.7,22.2,1.7,0.30%
,Jasper County, MO,29097,31,119111,26,17.7,36.9,4.7,0.10%
,Jefferson County, MO,29099,48,224226,21.4,15.8,28.4,3.1,0.10%
,Johnson County, MO,29101,11,53942,Unreliable,10.2,36.5,6.1,0.00%
,Laclede County, MO,29105,10,35490,Unreliable,13.5,51.8,8.9,0.00%
,Lincoln County, MO,29113,17,55267,Unreliable,17.9,49.2,7.5,0.00%
,New Madrid County, MO,29143,10,17915,Unreliable,26.8,102.7,17.7,0.00%
,Newton County, MO,29145,16,58694,Unreliable,15.6,44.3,6.8,0.00%
,Platte County, MO,29165,20,98309,20.3,12.4,31.4,4.5,0.00%
,Pulaski County, MO,29169,15,52654,Unreliable,15.9,47,7.4,0.00%
,St. Charles County, MO,29183,65,390918,16.6,12.8,21.2,2.1,0.10%
,St. Francois County, MO,29187,11,66627,Unreliable,8.2,29.5,5,0.00%
,St. Louis County, MO,29189,130,998581,13,10.8,15.3,1.1,0.30%
,Scott County, MO,29201,13,38745,Unreliable,17.9,57.4,9.3,0.00%
,Stone County, MO,29209,19,31047,Unreliable,36.8,95.6,14,0.00%
,Taney County, MO,29213,15,54735,Unreliable,15.3,45.2,7.1,0.00%
,St. Louis city, MO,29510,38,311404,12.2,8.6,16.7,2,0.10%
,Cascade County, MT,30013,18,81755,Unreliable,13,34.8,5.2,0.00%
,Flathead County, MT,30029,25,98082,25.5,16.5,37.6,5.1,0.10%
,Gallatin County, MT,30031,27,104502,25.8,17,37.6,5,0.10%
,Lewis and Clark County, MT,30049,15,67282,Unreliable,12.5,36.8,5.8,0.00%
,Missoula County, MT,30063,33,116130,28.4,19.6,39.9,4.9,0.10%
,Ravalli County, MT,30081,12,42088,Unreliable,14.7,49.8,8.2,0.00%
,Silver Bow County, MT,30093,12,34553,Unreliable,17.9,60.7,10,0.00%
,Yellowstone County, MT,30111,40,158437,25.2,18,34.4,4,0.10%
,Douglas County, NE,31055,58,554995,10.5,7.9,13.5,1.4,0.10%
,Lancaster County, NE,31109,44,309637,14.2,10.3,19.1,2.1,0.10%
,Madison County, NE,31119,10,35015,Unreliable,13.7,52.5,9,0.00%
,Sarpy County, NE,31153,20,179023,11.2,6.8,17.3,2.5,0.00%
,Clark County, NV,32003,419,2155664,19.4,17.6,21.3,0.9,0.90%
,Douglas County, NV,32005,10,48020,Unreliable,10,38.3,6.6,0.00%
,Elko County, NV,32007,14,52168,Unreliable,14.7,45,7.2,0.00%
,Humboldt County, NV,32013,10,16842,Unreliable,28.5,109.2,18.8,0.00%
,Lyon County, NV,32019,14,53179,Unreliable,14.4,44.2,7,0.00%
,Nye County, NV,32023,15,43423,Unreliable,19.3,57,8.9,0.00%
,Washoe County, NV,32031,126,453616,27.8,22.9,32.6,2.5,0.30%
,Carson City, NV,32510,18,54742,Unreliable,19.5,52,7.8,0.00%
,Belknap County, NH,33001,12,60779,Unreliable,10.2,34.5,5.7,0.00%
,Cheshire County, NH,33005,12,75774,Unreliable,8.2,27.7,4.6,0.00%
,Coos County, NH,33007,14,32039,Unreliable,23.9,73.3,11.7,0.00%
,Grafton County, NH,33009,18,88888,Unreliable,12,32,4.8,0.00%
,Hillsborough County, NH,33011,78,407761,19.1,15.1,23.9,2.2,0.20%
,Merrimack County, NH,33013,29,148582,19.5,13.1,28,3.6,0.10%
,Rockingham County, NH,33015,34,303251,11.2,7.8,15.7,1.9,0.10%
,Strafford County, NH,33017,23,127428,18,11.4,27.1,3.8,0.10%
,Sullivan County, NH,33019,16,43004,Unreliable,21.3,60.4,9.3,0.00%
,Atlantic County, NJ,34001,33,270991,12.2,8.4,17.1,2.1,0.10%
,Bergen County, NJ,34003,77,939151,8.2,6.5,10.2,0.9,0.20%
,Burlington County, NJ,34005,49,449284,10.9,8.1,14.4,1.6,0.10%
,Camden County, NJ,34007,49,510150,9.6,7.1,12.7,1.4,0.10%
,Essex County, NJ,34013,47,796914,5.9,4.3,7.8,0.9,0.10%
,Gloucester County, NJ,34015,28,292330,9.6,6.4,13.8,1.8,0.10%
,Hudson County, NJ,34017,37,677983,5.5,3.8,7.5,0.9,0.10%
,Hunterdon County, NJ,34019,18,124676,Unreliable,8.6,22.8,3.4,0.00%
,Mercer County, NJ,34021,21,371023,5.7,3.5,8.7,1.2,0.00%
,Middlesex County, NJ,34023,65,837073,7.8,6,9.9,1,0.10%
,Monmouth County, NJ,34025,51,625846,8.1,6.1,10.7,1.1,0.10%
,Morris County, NJ,34027,31,498423,6.2,4.2,8.8,1.1,0.10%
,Ocean County, NJ,34029,37,592497,6.2,4.4,8.6,1,0.10%
,Passaic County, NJ,34031,26,507945,5.1,3.3,7.5,1,0.10%
,Somerset County, NJ,34035,24,333751,7.2,4.6,10.7,1.5,0.10%
,Sussex County, NJ,34037,24,142522,16.8,10.8,25.1,3.4,0.10%
,Union County, NJ,34039,32,555630,5.8,3.9,8.1,1,0.10%
,Warren County, NJ,34041,15,106617,Unreliable,7.9,23.2,3.6,0.00%
,Bernalillo County, NM,35001,137,676953,20.2,16.8,23.6,1.7,0.30%
,Curry County, NM,35009,12,50280,Unreliable,12.3,41.7,6.9,0.00%
,Dona Ana County, NM,35013,34,214207,15.9,11,22.2,2.7,0.10%
,Eddy County, NM,35015,18,57621,Unreliable,18.5,49.4,7.4,0.00%
,Lea County, NM,35025,11,69749,Unreliable,7.9,28.2,4.8,0.00%
,Luna County, NM,35029,11,24450,Unreliable,22.5,80.5,13.6,0.00%
,McKinley County, NM,35031,18,74923,Unreliable,14.2,38,5.7,0.00%
,Otero County, NM,35035,21,65410,32.1,19.9,49.1,7,0.00%
,Rio Arriba County, NM,35039,10,40040,Unreliable,12,45.9,7.9,0.00%
,Sandoval County, NM,35043,21,142025,14.8,9.2,22.6,3.2,0.00%
,San Juan County, NM,35045,32,115079,27.8,19,39.3,4.9,0.10%
,Santa Fe County, NM,35049,48,148651,32.3,23.8,42.8,4.7,0.10%
,Taos County, NM,35055,13,33065,Unreliable,20.9,67.2,10.9,0.00%
,Valencia County, NM,35061,16,75626,Unreliable,12.1,34.4,5.3,0.00%
,Albany County, NY,36001,24,308846,7.8,5,11.6,1.6,0.10%
,Bronx County, NY,36005,89,1455720,6.1,4.9,7.5,0.6,0.20%
,Broome County, NY,36007,25,195334,12.8,8.3,18.9,2.6,0.10%
,Cattaraugus County, NY,36009,10,77677,Unreliable,6.2,23.7,4.1,0.00%
,Cayuga County, NY,36011,10,77861,Unreliable,6.2,23.6,4.1,0.00%
,Chautauqua County, NY,36013,19,129504,Unreliable,8.8,22.9,3.4,0.00%
,Chemung County, NY,36015,14,86322,Unreliable,8.9,27.2,4.3,0.00%
,Clinton County, NY,36019,12,81073,Unreliable,7.6,25.9,4.3,0.00%
,Columbia County, NY,36021,16,60989,Unreliable,15,42.6,6.6,0.00%
,Delaware County, NY,36025,12,45523,Unreliable,13.6,46,7.6,0.00%
,Dutchess County, NY,36027,31,294473,10.5,7.2,14.9,1.9,0.10%
,Erie County, NY,36029,105,921046,11.4,9.2,13.6,1.1,0.20%
,Genesee County, NY,36037,10,58482,Unreliable,8.2,31.4,5.4,0.00%
,Jefferson County, NY,36045,18,114006,Unreliable,9.4,25,3.7,0.00%
,Kings County, NY,36047,130,2629150,4.9,4.1,5.8,0.4,0.30%
,Livingston County, NY,36051,10,64257,Unreliable,7.5,28.6,4.9,0.00%
,Monroe County, NY,36055,82,747727,11,8.7,13.6,1.2,0.20%
,Nassau County, NY,36059,110,1361500,8.1,6.6,9.6,0.8,0.20%
,New York County, NY,36061,114,1643734,6.9,5.7,8.2,0.6,0.30%
,Niagara County, NY,36063,36,211758,17,11.9,23.5,2.8,0.10%
,Oneida County, NY,36065,19,231190,Unreliable,4.9,12.8,1.9,0.00%
,Onondaga County, NY,36067,51,466194,10.9,8.1,14.4,1.5,0.10%
,Ontario County, NY,36069,14,109828,Unreliable,7,21.4,3.4,0.00%
,Orange County, NY,36071,21,379210,5.5,3.4,8.5,1.2,0.00%
,Oswego County, NY,36075,19,118987,Unreliable,9.6,24.9,3.7,0.00%
,Putnam County, NY,36079,10,98900,Unreliable,4.8,18.6,3.2,0.00%
,Queens County, NY,36081,152,2333054,6.5,5.5,7.6,0.5,0.30%
,Rensselaer County, NY,36083,18,160070,Unreliable,6.7,17.8,2.7,0.00%
,Richmond County, NY,36085,31,476015,6.5,4.4,9.2,1.2,0.10%
,Rockland County, NY,36087,19,326780,Unreliable,3.5,9.1,1.3,0.00%
,St. Lawrence County, NY,36089,12,110038,Unreliable,5.6,19,3.1,0.00%
,Saratoga County, NY,36091,26,227053,11.5,7.5,16.8,2.2,0.10%
,Schenectady County, NY,36093,20,154553,12.9,7.9,20,2.9,0.00%
,Steuben County, NY,36101,11,96940,Unreliable,5.7,20.3,3.4,0.00%
,Suffolk County, NY,36103,139,1492583,9.3,7.8,10.9,0.8,0.30%
,Sullivan County, NY,36105,13,74801,Unreliable,9.3,29.7,4.8,0.00%
,Tompkins County, NY,36109,14,104871,Unreliable,7.3,22.4,3.6,0.00%
,Ulster County, NY,36111,21,179225,11.7,7.3,17.9,2.6,0.00%
,Wayne County, NY,36117,10,90798,Unreliable,5.3,20.3,3.5,0.00%
,Westchester County, NY,36119,69,974542,7.1,5.5,9,0.9,0.20%
,Alamance County, NC,37001,24,159688,15,9.6,22.4,3.1,0.10%
,Alexander County, NC,37003,11,37428,Unreliable,14.7,52.6,8.9,0.00%
,Brunswick County, NC,37019,12,126953,Unreliable,4.9,16.5,2.7,0.00%
,Buncombe County, NC,37021,48,256088,18.7,13.8,24.9,2.7,0.10%
,Burke County, NC,37023,24,88851,27,17.3,40.2,5.5,0.10%
,Cabarrus County, NC,37025,20,201590,9.9,6.1,15.3,2.2,0.00%
,Caldwell County, NC,37027,17,81449,Unreliable,12.2,33.4,5.1,0.00%
,Carteret County, NC,37031,17,68890,Unreliable,14.4,39.5,6,0.00%
,Catawba County, NC,37035,32,156459,20.5,14,28.9,3.6,0.10%
,Chatham County, NC,37037,11,72243,Unreliable,7.6,27.2,4.6,0.00%
,Cleveland County, NC,37045,19,97144,Unreliable,11.8,30.5,4.5,0.00%
,Craven County, NC,37049,11,103445,Unreliable,5.3,19,3.2,0.00%
,Cumberland County, NC,37051,50,327127,15.3,11.3,20.2,2.2,0.10%
,Davidson County, NC,37057,31,164926,18.8,12.8,26.7,3.4,0.10%
,Davie County, NC,37059,11,42013,Unreliable,13.1,46.8,7.9,0.00%
,Durham County, NC,37063,22,306212,7.2,4.5,10.9,1.5,0.00%
,Forsyth County, NC,37067,43,371511,11.6,8.4,15.6,1.8,0.10%
,Gaston County, NC,37071,38,216965,17.5,12.4,24,2.8,0.10%
,Guilford County, NC,37081,60,521330,11.5,8.8,14.8,1.5,0.10%
,Harnett County, NC,37085,11,130881,Unreliable,4.2,15,2.5,0.00%
,Haywood County, NC,37087,13,60682,Unreliable,11.4,36.6,5.9,0.00%
,Henderson County, NC,37089,14,114209,Unreliable,6.7,20.6,3.3,0.00%
,Iredell County, NC,37097,31,172916,17.9,12.2,25.4,3.2,0.10%
,Johnston County, NC,37101,23,191450,12,7.6,18,2.5,0.10%
,Lee County, NC,37105,10,59616,Unreliable,8,30.8,5.3,0.00%
,Lincoln County, NC,37109,14,81168,Unreliable,9.4,28.9,4.6,0.00%
,Mecklenburg County, NC,37119,105,1054835,10,8.1,11.9,1,0.20%
,Moore County, NC,37125,13,95776,Unreliable,7.2,23.2,3.8,0.00%
,Nash County, NC,37127,12,94005,Unreliable,6.6,22.3,3.7,0.00%
,New Hanover County, NC,37129,31,223483,13.9,9.4,19.7,2.5,0.10%
,Onslow County, NC,37133,38,187136,20.3,14.4,27.9,3.3,0.10%
,Orange County, NC,37135,15,141796,Unreliable,5.9,17.4,2.7,0.00%
,Pender County, NC,37141,16,59090,Unreliable,15.5,44,6.8,0.00%
,Pitt County, NC,37147,13,177220,Unreliable,3.9,12.5,2,0.00%
,Polk County, NC,37149,10,20334,Unreliable,23.6,90.4,15.6,0.00%
,Randolph County, NC,37151,26,143416,18.1,11.8,26.6,3.6,0.10%
,Richmond County, NC,37153,10,44939,Unreliable,10.7,40.9,7,0.00%
,Robeson County, NC,37155,10,133235,Unreliable,3.6,13.8,2.4,0.00%
,Rockingham County, NC,37157,11,91393,Unreliable,6,21.5,3.6,0.00%
,Rowan County, NC,37159,25,139933,17.9,11.6,26.4,3.6,0.10%
,Stokes County, NC,37169,14,46097,Unreliable,16.6,51,8.1,0.00%
,Surry County, NC,37171,17,72113,Unreliable,13.7,37.7,5.7,0.00%
,Transylvania County, NC,37175,13,33482,Unreliable,20.7,66.4,10.8,0.00%
,Union County, NC,37179,26,226606,11.5,7.5,16.8,2.3,0.10%
,Wake County, NC,37183,97,1046791,9.3,7.5,11.3,0.9,0.20%
,Wayne County, NC,37191,12,124150,Unreliable,5,16.9,2.8,0.00%
,Wilkes County, NC,37193,10,68740,Unreliable,7,26.8,4.6,0.00%
,Cass County, ND,38017,34,175249,19.4,13.4,27.1,3.3,0.10%
,Ward County, ND,38101,15,70210,Unreliable,12,35.2,5.5,0.00%
,Allen County, OH,39003,15,103742,Unreliable,8.1,23.8,3.7,0.00%
,Ashtabula County, OH,39007,19,98231,Unreliable,11.6,30.2,4.4,0.00%
,Athens County, OH,39009,10,66186,Unreliable,7.2,27.8,4.8,0.00%
,Belmont County, OH,39013,10,68673,Unreliable,7,26.8,4.6,0.00%
,Brown County, OH,39015,11,43759,Unreliable,12.5,45,7.6,0.00%
,Butler County, OH,39017,48,377537,12.7,9.4,16.9,1.8,0.10%
,Clark County, OH,39023,20,134786,14.8,9.1,22.9,3.3,0.00%
,Clermont County, OH,39025,30,203022,14.8,10,21.1,2.7,0.10%
,Columbiana County, OH,39029,16,103685,Unreliable,8.8,25.1,3.9,0.00%
,Cuyahoga County, OH,39035,165,1249352,13.2,11.2,15.2,1,0.40%
,Darke County, OH,39037,10,51778,Unreliable,9.3,35.5,6.1,0.00%
,Delaware County, OH,39041,24,196463,12.2,7.8,18.2,2.5,0.10%
,Erie County, OH,39043,19,75107,Unreliable,15.2,39.5,5.8,0.00%
,Fairfield County, OH,39045,19,152597,Unreliable,7.5,19.4,2.9,0.00%
,Franklin County, OH,39049,140,1264518,11.1,9.2,12.9,0.9,0.30%
,Geauga County, OH,39055,15,94060,Unreliable,8.9,26.3,4.1,0.00%
,Greene County, OH,39057,20,164765,12.1,7.4,18.7,2.7,0.00%
,Hamilton County, OH,39061,107,809099,13.2,10.7,15.7,1.3,0.20%
,Highland County, OH,39071,12,43029,Unreliable,14.4,48.7,8.1,0.00%
,Jefferson County, OH,39081,13,66704,Unreliable,10.4,33.3,5.4,0.00%
,Knox County, OH,39083,12,60814,Unreliable,10.2,34.5,5.7,0.00%
,Lake County, OH,39085,32,228614,14,9.6,19.8,2.5,0.10%
,Licking County, OH,39089,29,172198,16.8,11.3,24.2,3.1,0.10%
,Lorain County, OH,39093,45,306365,14.7,10.7,19.7,2.2,0.10%
,Lucas County, OH,39095,62,432488,14.3,11,18.4,1.8,0.10%
,Mahoning County, OH,39099,40,230008,17.4,12.4,23.7,2.7,0.10%
,Marion County, OH,39101,14,65096,Unreliable,11.8,36.1,5.7,0.00%
,Medina County, OH,39103,31,177221,17.5,11.9,24.8,3.1,0.10%
,Miami County, OH,39109,12,104679,Unreliable,5.9,20,3.3,0.00%
,Montgomery County, OH,39113,89,531239,16.8,13.5,20.6,1.8,0.20%
,Muskingum County, OH,39119,18,86068,Unreliable,12.4,33.1,4.9,0.00%
,Portage County, OH,39133,28,161921,17.3,11.5,25,3.3,0.10%
,Richland County, OH,39139,17,121107,Unreliable,8.2,22.5,3.4,0.00%
,Ross County, OH,39141,14,77000,Unreliable,9.9,30.5,4.9,0.00%
,Scioto County, OH,39145,11,76088,Unreliable,7.2,25.9,4.4,0.00%
,Seneca County, OH,39147,11,55353,Unreliable,9.9,35.6,6,0.00%
,Stark County, OH,39151,81,373612,21.7,17.2,26.9,2.4,0.20%
,Summit County, OH,39153,95,540300,17.6,14.2,21.5,1.8,0.20%
,Trumbull County, OH,39155,40,201825,19.8,14.2,27,3.1,0.10%
,Tuscarawas County, OH,39157,10,92420,Unreliable,5.2,19.9,3.4,0.00%
,Warren County, OH,39165,31,227063,13.7,9.3,19.4,2.5,0.10%
,Wayne County, OH,39169,11,116470,Unreliable,4.7,16.9,2.8,0.00%
,Wood County, OH,39173,24,130219,18.4,11.8,27.4,3.8,0.10%
,Caddo County, OK,40015,10,29557,Unreliable,16.2,62.2,10.7,0.00%
,Canadian County, OK,40017,23,136532,16.8,10.7,25.3,3.5,0.10%
,Carter County, OK,40019,14,48556,Unreliable,15.8,48.4,7.7,0.00%
,Cleveland County, OK,40027,54,278655,19.4,14.6,25.3,2.6,0.10%
,Comanche County, OK,40031,18,122136,Unreliable,8.7,23.3,3.5,0.00%
,Creek County, OK,40037,25,71312,35.1,22.7,51.8,7,0.10%
,Garfield County, OK,40047,15,62603,Unreliable,13.4,39.5,6.2,0.00%
,Grady County, OK,40051,11,54655,Unreliable,10,36,6.1,0.00%
,Kay County, OK,40071,11,44943,Unreliable,12.2,43.8,7.4,0.00%
,Le Flore County, OK,40079,19,49873,Unreliable,22.9,59.5,8.7,0.00%
,McClain County, OK,40087,12,38682,Unreliable,16,54.2,9,0.00%
,McCurtain County, OK,40089,10,32822,Unreliable,14.6,56,9.6,0.00%
,Muskogee County, OK,40101,18,69477,Unreliable,15.4,40.9,6.1,0.00%
,Oklahoma County, OK,40109,152,782970,19.4,16.3,22.5,1.6,0.30%
,Payne County, OK,40119,18,81131,Unreliable,13.1,35.1,5.2,0.00%
,Pittsburg County, OK,40121,10,44173,Unreliable,10.9,41.6,7.2,0.00%
,Pottawatomie County, OK,40125,22,72290,30.4,19.1,46.1,6.5,0.00%
,Rogers County, OK,40131,19,91766,Unreliable,12.5,32.3,4.8,0.00%
,Sequoyah County, OK,40135,11,41294,Unreliable,13.3,47.7,8,0.00%
,Tulsa County, OK,40143,122,642940,19,15.6,22.3,1.7,0.30%
,Wagoner County, OK,40145,16,77679,Unreliable,11.8,33.4,5.1,0.00%
,Washington County, OK,40147,14,52087,Unreliable,14.7,45.1,7.2,0.00%
,Benton County, OR,41003,13,89385,Unreliable,7.7,24.9,4,0.00%
,Clackamas County, OR,41005,62,408062,15.2,11.6,19.5,1.9,0.10%
,Clatsop County, OR,41007,10,38632,Unreliable,12.4,47.6,8.2,0.00%
,Columbia County, OR,41009,14,50785,Unreliable,15.1,46.3,7.4,0.00%
,Coos County, OR,41011,17,63761,Unreliable,15.5,42.7,6.5,0.00%
,Curry County, OR,41015,11,22713,Unreliable,24.2,86.7,14.6,0.00%
,Deschutes County, OR,41017,34,181307,18.8,13,26.2,3.2,0.10%
,Douglas County, OR,41019,30,108457,27.7,18.7,39.5,5.1,0.10%
,Jackson County, OR,41029,49,216527,22.6,16.7,29.9,3.2,0.10%
,Josephine County, OR,41033,21,85904,24.4,15.1,37.4,5.3,0.00%
,Klamath County, OR,41035,18,66443,Unreliable,16.1,42.8,6.4,0.00%
,Lane County, OR,41039,79,369519,21.4,16.9,26.6,2.4,0.20%
,Lincoln County, OR,41041,24,47806,50.2,32.2,74.7,10.2,0.10%
,Linn County, OR,41043,30,122849,24.4,16.5,34.9,4.5,0.10%
,Marion County, OR,41047,56,336316,16.7,12.6,21.6,2.2,0.10%
,Multnomah County, OR,41051,122,799766,15.3,12.5,18,1.4,0.30%
,Tillamook County, OR,41057,10,26143,Unreliable,18.3,70.3,12.1,0.00%
,Umatilla County, OR,41059,15,76456,Unreliable,11,32.4,5.1,0.00%
,Washington County, OR,41067,81,582779,13.9,11,17.3,1.5,0.20%
,Yamhill County, OR,41071,25,105035,23.8,15.4,35.1,4.8,0.10%
