Notes,County,State,FIPS,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,Salt Lake County, UT,49035,235,1121354,21,18.3,23.6,1.4,0.50%
,Uintah County, UT,49047,10,36373,Unreliable,13.2,50.6,8.7,0.00%
,Utah County, UT,49049,78,592299,13.2,10.4,16.4,1.5,0.20%
,Washington County, UT,49053,48,160245,30,22.1,39.7,4.3,0.10%
,Weber County, UT,49057,72,247560,29.1,22.8,36.6,3.4,0.20%
,Caledonia County, VT,50005,11,30333,Unreliable,18.1,64.9,10.9,0.00%
,Chittenden County, VT,50007,20,161531,12.4,7.6,19.1,2.8,0.00%
,Rutland County, VT,50021,13,59310,Unreliable,11.7,37.5,6.1,0.00%
,Washington County, VT,50023,17,58504,Unreliable,16.9,46.5,7,0.00%
,Windham County, VT,50025,18,43145,Unreliable,24.7,65.9,9.8,0.00%
,Arlington County, VA,51013,19,230050,Unreliable,5,12.9,1.9,0.00%
,Bedford County, VA,51019,13,77960,Unreliable,8.9,28.5,4.6,0.00%
,Campbell County, VA,51031,10,54952,Unreliable,8.7,33.5,5.8,0.00%
,Chesterfield County, VA,51041,53,339009,15.6,11.7,20.4,2.1,0.10%
,Fairfax County, VA,51059,102,1138652,9,7.2,10.7,0.9,0.20%
,Fauquier County, VA,51061,11,69069,Unreliable,8,28.5,4.8,0.00%
,Frederick County, VA,51069,17,84421,Unreliable,11.7,32.2,4.9,0.00%
,Gloucester County, VA,51073,11,37214,Unreliable,14.8,52.9,8.9,0.00%
,Hanover County, VA,51085,12,104392,Unreliable,5.9,20.1,3.3,0.00%
,Henrico County, VA,51087,44,326501,13.5,9.8,18.1,2,0.10%
,Henry County, VA,51089,10,51445,Unreliable,9.3,35.7,6.1,0.00%
,James City County, VA,51095,12,74404,Unreliable,8.3,28.2,4.7,0.00%
,Loudoun County, VA,51107,47,385945,12.2,8.9,16.2,1.8,0.10%
,Montgomery County, VA,51121,15,98602,Unreliable,8.5,25.1,3.9,0.00%
,Pittsylvania County, VA,51143,13,61687,Unreliable,11.2,36,5.8,0.00%
,Prince William County, VA,51153,48,455210,10.5,7.8,14,1.5,0.10%
,Roanoke County, VA,51161,17,94031,Unreliable,10.5,28.9,4.4,0.00%
,Rockingham County, VA,51165,12,79744,Unreliable,7.8,26.3,4.3,0.00%
,Shenandoah County, VA,51171,10,43175,Unreliable,11.1,42.6,7.3,0.00%
,Spotsylvania County, VA,51177,26,132010,19.7,12.9,28.9,3.9,0.10%
,Stafford County, VA,51179,17,144361,Unreliable,6.9,18.9,2.9,0.00%
,Washington County, VA,51191,16,54214,Unreliable,16.9,47.9,7.4,0.00%
,Alexandria city, VA,51510,14,155810,Unreliable,4.9,15.1,2.4,0.00%
,Bedford city, VA,51515,Missing,Missing,Missing,Missing,Missing,Missing,Missing
,Chesapeake city, VA,51550,29,237940,12.2,8.2,17.5,2.3,0.10%
,Clifton Forge city, VA,51560,Missing,Missing,Missing,Missing,Missing,Missing,Missing
,Danville city, VA,51590,10,41898,Unreliable,11.4,43.9,7.5,0.00%
,Hampton city, VA,51650,16,135410,Unreliable,6.8,19.2,3,0.00%
,Lynchburg city, VA,51680,10,80212,Unreliable,6,22.9,3.9,0.00%
,Newport News city, VA,51700,25,181825,13.7,8.9,20.3,2.7,0.10%
,Norfolk city, VA,51710,25,245115,10.2,6.6,15.1,2,0.10%
,Portsmouth city, VA,51740,15,95252,Unreliable,8.8,26,4.1,0.00%
,Richmond city, VA,51760,30,223170,13.4,9.1,19.2,2.5,0.10%
,Roanoke city, VA,51770,22,99660,22.1,13.8,33.4,4.7,0.00%
,Virginia Beach city, VA,51810,65,452602,14.4,11.1,18.3,1.8,0.10%
,Benton County, WA,53005,26,193686,13.4,8.8,19.7,2.6,0.10%
,Chelan County, WA,53007,14,76338,Unreliable,10,30.8,4.9,0.00%
,Clallam County, WA,53009,13,74570,Unreliable,9.3,29.8,4.8,0.00%
,Clark County, WA,53011,73,467018,15.6,12.3,19.7,1.8,0.20%
,Cowlitz County, WA,53015,21,105160,20,12.4,30.5,4.4,0.00%
,Grays Harbor County, WA,53027,19,71628,Unreliable,16,41.4,6.1,0.00%
,Island County, WA,53029,16,82636,Unreliable,11.1,31.4,4.8,0.00%
,Jefferson County, WA,53031,17,31139,Unreliable,31.8,87.4,13.2,0.00%
,King County, WA,53033,264,2149970,12.3,10.8,13.8,0.8,0.60%
,Kitsap County, WA,53035,46,264811,17.4,12.7,23.2,2.6,0.10%
,Lewis County, WA,53041,15,77066,Unreliable,10.9,32.1,5,0.00%
,Mason County, WA,53045,11,62198,Unreliable,8.8,31.6,5.3,0.00%
,Pierce County, WA,53053,175,861312,20.3,17.3,23.3,1.5,0.40%
,Skagit County, WA,53057,18,123681,Unreliable,8.6,23,3.4,0.00%
,Snohomish County, WA,53061,116,787620,14.7,12,17.4,1.4,0.30%
,Spokane County, WA,53063,90,499072,18,14.5,22.2,1.9,0.20%
,Thurston County, WA,53067,53,275222,19.3,14.4,25.2,2.6,0.10%
,Walla Walla County, WA,53071,10,60340,Unreliable,7.9,30.5,5.2,0.00%
