Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Switzerland,CHE,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.11786355,29.22664569,29.33542473,29.44420687,29.55298591,29.66176804,29.77130222,29.8808407,29.99038595,30.09993551,30.20949371,30.32664425,30.44380259,30.56096807,30.67813827,30.79609254,30.88797203,30.97985426,31.07095907,31.16206079,31.2531625,31.34932732,31.44548904,31.54165385,31.63781558,31.73398039,31.8301452,,
Channel Islands,CHI,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,4.040404256,,
Chile,CHL,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.52769667,20.60449176,20.68128816,20.75808325,20.83487965,20.91167475,20.98846984,21.06526624,21.14206133,21.21885773,21.29565282,21.35160147,21.40755143,21.46350007,21.51945003,21.57539867,21.62623684,21.677075,21.72791448,21.77875265,21.82959081,22.2341474,22.63870136,23.04325795,23.44781191,23.8523685,24.25692509,,
China,CHN,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.73800695,16.94954797,17.16108733,17.37262669,17.58416771,17.79572602,18.00728645,18.21882626,18.43036607,18.64190754,18.85346743,19.19525698,19.53703617,19.87881579,20.22059245,20.56237213,20.72356302,20.88475227,21.0459418,21.20712991,21.36831943,21.53258961,21.69685979,21.86112996,22.02539848,22.18966865,22.35394181,,
Cote d'Ivoire,CIV,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.14465409,32.17798619,32.21132137,32.24465347,32.27798865,32.31132075,32.34465286,32.37798804,32.41132014,32.44465532,32.47798742,32.52641632,32.57484215,32.62327105,32.67169688,32.72012579,32.7188667,32.71761068,32.71635159,32.71509557,32.71383648,32.71257739,32.71132137,32.71006228,32.70880626,32.70754717,32.70628808,,
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.43957183,50.97417021,50.50876859,50.04336697,49.57796535,49.11256373,48.64716211,48.18176049,47.71635887,47.25095725,46.78555563,46.32015401,45.85475239,45.38935076,44.92394914,44.45854752,43.9931459,43.52774428,43.06234266,42.59694104,42.13153942,41.6661378,41.20073618,40.73533456,40.26993294,39.80453132,39.3391297,,
"Congo, Dem. Rep.",COD,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.73641958,70.5990577,70.46170271,70.32434083,70.18698584,70.04962396,69.91226208,69.77490709,69.63754521,69.50019023,69.36282835,69.22546647,69.08811148,68.9507496,68.81339461,68.67603273,68.53867085,68.40131586,68.26395398,68.12659899,67.98923711,67.85187523,67.71452025,67.57715837,67.43980338,67.3024415,67.16507962,,
"Congo, Rep.",COG,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.54758419,66.49780381,66.44802343,66.39824305,66.34846266,66.29868228,66.2489019,66.19912152,66.14934114,66.09956076,66.04978038,66,65.95021962,65.90043924,65.85065886,65.80087848,65.76573939,65.73060029,65.6954612,65.66032211,65.62518302,65.5800867,65.53499039,65.4898998,65.44480349,65.39970717,65.35461086,,
Colombia,COL,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.05948626,57.82347059,57.58746198,57.35144632,57.1154377,56.87942204,56.64340638,56.40740128,56.1713821,55.935377,55.69936134,55.4114642,55.12357763,54.83568401,54.54779743,54.25990029,53.97760112,53.69530546,53.41301332,53.13071767,52.84841849,52.82433669,52.80026194,52.77618015,52.7521054,52.72802008,52.70393829,,
Comoros,COM,Forest area (% of land area),AG.LND.FRST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.32992928,26.11499026,25.9000533,25.68511428,25.47017731,25.25523829,25.04029927,24.8253623,24.61042329,24.39548632,24.1805473,23.85814082,23.53573229,23.21332582,22.89091729,22.56851081,22.24610434,21.92369581,21.60128933,21.2788808,20.95647433,20.74153531,20.52659834,20.31165932,20.09672235,19.88178334,19.66684432,,
